p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.64308553652917	0.991	0.216	0	B2 Bcells	ENSMUSG00000003379.Cd79a
0	4.57574693952972	0.871	0.103	0	B2 Bcells	ENSMUSG00000104213.Ighd
0	2.71472343707534	0.927	0.196	0	B2 Bcells	ENSMUSG00000037922.Bank1
0	2.41801466888242	0.925	0.209	0	B2 Bcells	ENSMUSG00000040592.Cd79b
0	2.09211633424529	0.905	0.192	0	B2 Bcells	ENSMUSG00000024673.Ms4a1
0	1.16984956437656	0.927	0.219	0	B2 Bcells	ENSMUSG00000076937.Iglc2
0	4.64416269095514	0.714	0.066	0	B2 Bcells	ENSMUSG00000005540.Fcer2a
0	2.17421715704849	0.957	0.313	0	B2 Bcells	ENSMUSG00000036322.H2-Ea
0	2.14157319649238	0.959	0.325	0	B2 Bcells	ENSMUSG00000060586.H2-Eb1
0	2.38052206428679	0.962	0.335	0	B2 Bcells	ENSMUSG00000036594.H2-Aa
0	3.1098757798921	0.957	0.333	0	B2 Bcells	ENSMUSG00000005583.Mef2c
0	1.81290523001169	0.804	0.192	0	B2 Bcells	ENSMUSG00000105547.Iglc3
0	2.85230317130431	0.793	0.182	0	B2 Bcells	ENSMUSG00000037548.H2-DMb2
0	2.99292324853597	0.736	0.149	0	B2 Bcells	ENSMUSG00000014030.Pax5
0	2.83485229500188	0.716	0.138	0	B2 Bcells	ENSMUSG00000042474.Fcmr
0	3.12221881654475	0.72	0.142	0	B2 Bcells	ENSMUSG00000104710.Gm31243
0	2.33260396229323	0.785	0.213	0	B2 Bcells	ENSMUSG00000015396.Cd83
0	2.19188264352581	0.959	0.39	0	B2 Bcells	ENSMUSG00000073421.H2-Ab1
0	1.89347098866136	0.79	0.224	0	B2 Bcells	ENSMUSG00000002204.Napsa
0	2.28337925614689	0.978	0.416	0	B2 Bcells	ENSMUSG00000024610.Cd74
0	2.68453217856559	0.811	0.252	0	B2 Bcells	ENSMUSG00000026594.Ralgps2
0	2.00016468168852	0.904	0.346	0	B2 Bcells	ENSMUSG00000030798.Cd37
0	3.66509106316822	0.637	0.107	0	B2 Bcells	ENSMUSG00000028459.Cd72
0	1.78410178393786	0.851	0.332	0	B2 Bcells	ENSMUSG00000042228.Lyn
0	4.59317923303955	0.56	0.042	0	B2 Bcells	ENSMUSG00000000903.Vpreb3
0	2.7202959700938	0.687	0.169	0	B2 Bcells	ENSMUSG00000061132.Blnk
0	2.27749395690083	0.895	0.383	0	B2 Bcells	ENSMUSG00000031838.Ifi30
0	2.79202831881747	0.706	0.201	0	B2 Bcells	ENSMUSG00000029254.Stap1
0	2.79838533368444	0.67	0.169	0	B2 Bcells	ENSMUSG00000099757.BE692007
0	1.61630880990344	0.774	0.276	0	B2 Bcells	ENSMUSG00000038642.Ctss
0	2.00796874139527	0.992	0.494	0	B2 Bcells	ENSMUSG00000057098.Ebf1
0	4.01634390881979	0.551	0.067	0	B2 Bcells	ENSMUSG00000026616.Cr2
0	1.65696463329582	0.844	0.362	0	B2 Bcells	ENSMUSG00000037940.Inpp4b
0	2.09292741460807	0.712	0.234	0	B2 Bcells	ENSMUSG00000021457.Syk
0	2.36938113416672	0.677	0.221	0	B2 Bcells	ENSMUSG00000049313.Sorl1
0	2.22934679206888	0.621	0.172	0	B2 Bcells	ENSMUSG00000037944.Ccr7
0	1.81710805154312	0.725	0.276	0	B2 Bcells	ENSMUSG00000032220.Myo1e
0	3.21826843066303	0.554	0.11	0	B2 Bcells	ENSMUSG00000068105.Tnfrsf13c
0	1.92939175934036	0.709	0.27	0	B2 Bcells	ENSMUSG00000037649.H2-DMa
