p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.88022609959636	0.993	0.145	0	0	ENSMUSG00000003379.Cd79a
0	4.10065456872688	0.942	0.109	0	0	ENSMUSG00000037922.Bank1
0	3.83902399591953	0.932	0.107	0	0	ENSMUSG00000024673.Ms4a1
0	3.76736593862482	0.942	0.13	0	0	ENSMUSG00000040592.Cd79b
0	1.84253201186074	0.947	0.15	0	0	ENSMUSG00000076937.Iglc2
0	2.53929044204832	0.841	0.113	0	0	ENSMUSG00000105547.Iglc3
0	3.74768898748413	0.82	0.1	0	0	ENSMUSG00000037548.H2-DMb2
0	2.5971323096938	0.97	0.261	0	0	ENSMUSG00000036322.H2-Ea
0	2.56871793174615	0.972	0.267	0	0	ENSMUSG00000060586.H2-Eb1
0	3.00940689462452	0.836	0.141	0	0	ENSMUSG00000002204.Napsa
0	4.38964370566028	0.761	0.072	0	0	ENSMUSG00000104213.Ighd
0	3.34462562526604	0.95	0.262	0	0	ENSMUSG00000005583.Mef2c
0	2.73049584693419	0.974	0.286	0	0	ENSMUSG00000036594.H2-Aa
0	4.05277288147082	0.754	0.072	0	0	ENSMUSG00000014030.Pax5
0	3.07298283514675	0.816	0.135	0	0	ENSMUSG00000015396.Cd83
0	2.81755274193902	0.927	0.26	0	0	ENSMUSG00000030798.Cd37
0	4.29534701173381	0.735	0.069	0	0	ENSMUSG00000104710.Gm31243
0	4.14558145444593	0.73	0.067	0	0	ENSMUSG00000042474.Fcmr
0	3.21253382457678	0.822	0.176	0	0	ENSMUSG00000026594.Ralgps2
0	2.34593193381702	0.97	0.334	0	0	ENSMUSG00000073421.H2-Ab1
0	2.32282077367844	0.876	0.25	0	0	ENSMUSG00000042228.Lyn
0	3.54622346118887	0.716	0.095	0	0	ENSMUSG00000061132.Blnk
0	1.92530162409571	0.816	0.199	0	0	ENSMUSG00000038642.Ctss
0	2.65186785873327	0.986	0.383	0	0	ENSMUSG00000024610.Cd74
0	2.88721032612168	0.751	0.154	0	0	ENSMUSG00000021457.Syk
0	2.55414559733557	0.908	0.317	0	0	ENSMUSG00000031838.Ifi30
0	2.56562357614791	0.768	0.194	0	0	ENSMUSG00000032220.Myo1e
0	3.13794729403491	0.705	0.138	0	0	ENSMUSG00000029254.Stap1
0	3.15326609007978	0.681	0.118	0	0	ENSMUSG00000008496.Pou2f2
0	3.28205339720646	0.704	0.145	0	0	ENSMUSG00000057069.Ero1lb
0	2.15186138837399	0.992	0.434	0	0	ENSMUSG00000057098.Ebf1
0	1.75784293033037	0.849	0.292	0	0	ENSMUSG00000037940.Inpp4b
0	2.22311953291328	0.747	0.197	0	0	ENSMUSG00000037649.H2-DMa
0	2.36059805486263	0.775	0.226	0	0	ENSMUSG00000052889.Prkcb
0	4.51078890475655	0.596	0.051	0	0	ENSMUSG00000005540.Fcer2a
0	3.43769844961348	0.623	0.081	0	0	ENSMUSG00000014453.Blk
0	2.24190597133713	0.817	0.275	0	0	ENSMUSG00000037138.Aff3
0	3.43256406066662	0.618	0.084	0	0	ENSMUSG00000032053.Pou2af1
0	1.4390194857762	0.892	0.362	0	0	ENSMUSG00000024399.Ltb
0	2.5081136218185	0.772	0.243	0	0	ENSMUSG00000035268.Pkig
0	2.90827929297448	0.645	0.121	0	0	ENSMUSG00000099757.BE692007
0	1.65556067861366	0.748	0.226	0	0	ENSMUSG00000018168.Ikzf3
0	3.36841267939368	0.606	0.086	0	0	ENSMUSG00000092415.Gm20513
0	3.61704031340065	0.592	0.075	0	0	ENSMUSG00000034634.Ly6d
0	1.33459271366992	0.934	0.422	0	0	ENSMUSG00000030707.Coro1a
0	2.77696722658273	0.615	0.104	0	0	ENSMUSG00000021423.Ly86
0	0.780140965510844	0.629	0.119	0	0	ENSMUSG00000105906.Iglc1
0	3.40559295963383	0.605	0.097	0	0	ENSMUSG00000038421.Fcrla
0	3.58881678682194	0.57	0.068	0	0	ENSMUSG00000000861.Bcl11a
0	1.57753200987705	0.944	0.443	0	0	ENSMUSG00000026094.Stk17b
0	1.39637903718989	0.803	0.304	0	0	ENSMUSG00000045826.Ptprcap
0	2.2661511757223	0.852	0.354	0	0	ENSMUSG00000020275.Rel
0	3.16619545017662	0.593	0.096	0	0	ENSMUSG00000022901.Cd86
0	2.34197886391946	0.678	0.182	0	0	ENSMUSG00000004266.Ptpn6
0	2.5371756895415	0.682	0.186	0	0	ENSMUSG00000037071.Scd1
0	1.60482236497014	0.783	0.289	0	0	ENSMUSG00000036006.Ripor2
0	1.04359936655716	0.923	0.432	0	0	ENSMUSG00000049744.Arhgap15
0	1.44401137451603	0.976	0.485	0	0	ENSMUSG00000000682.Cd52
0	3.81787950462874	0.552	0.062	0	0	ENSMUSG00000068105.Tnfrsf13c
0	2.67646347909896	0.698	0.208	0	0	ENSMUSG00000031015.Swap70
0	3.6372288706111	0.558	0.077	0	0	ENSMUSG00000036469.Marchf1
0	2.9978348730371	0.568	0.087	0	0	ENSMUSG00000051506.Wdfy4
0	4.02634360729177	0.532	0.053	0	0	ENSMUSG00000030724.Cd19
0	1.15911698211742	0.876	0.398	0	0	ENSMUSG00000033220.Rac2
0	2.18834896248501	0.629	0.152	0	0	ENSMUSG00000058470.Gm8369
0	2.09798321875075	0.75	0.277	0	0	ENSMUSG00000032870.Smap2
0	2.25238398631527	0.675	0.203	0	0	ENSMUSG00000036908.Unc93b1
0	4.06814959652116	0.523	0.052	0	0	ENSMUSG00000059994.Fcrl1
0	2.28320415847187	0.551	0.08	0	0	ENSMUSG00000105646.Gm30211
0	3.46929429850027	0.555	0.085	0	0	ENSMUSG00000028459.Cd72
0	1.13332242582754	0.771	0.312	0	0	ENSMUSG00000047867.Gimap6
0	0.612616732164741	0.879	0.423	0	0	ENSMUSG00000026395.Ptprc
0	1.00632745618659	0.83	0.377	0	0	ENSMUSG00000026832.Cytip
0	2.20312581749946	0.633	0.181	0	0	ENSMUSG00000049313.Sorl1
0	1.04214324128674	0.849	0.398	0	0	ENSMUSG00000032035.Ets1
0	2.31457833336655	0.572	0.124	0	0	ENSMUSG00000047139.Cd24a
0	0.895637859870741	0.833	0.388	0	0	ENSMUSG00000020143.Dock2
0	2.13460011809062	0.582	0.137	0	0	ENSMUSG00000037944.Ccr7
0	2.28261606640601	0.665	0.221	0	0	ENSMUSG00000070031.Sp140
0	3.9826280026486	0.493	0.049	0	0	ENSMUSG00000030577.Cd22
0	1.14332288960506	0.775	0.332	0	0	ENSMUSG00000021998.Lcp1
0	1.89755224385026	0.894	0.453	0	0	ENSMUSG00000027808.Serp1
0	1.89717647991723	0.663	0.226	0	0	ENSMUSG00000026288.Inpp5d
0	4.21050556723176	0.482	0.045	0	0	ENSMUSG00000026616.Cr2
0	1.89247941062757	0.701	0.268	0	0	ENSMUSG00000079659.Tmem243
0	2.48822913445839	0.546	0.114	0	0	ENSMUSG00000015314.Slamf6
0	3.25473710329717	0.511	0.081	0	0	ENSMUSG00000049044.Rapgef4
0	3.59154126560609	0.493	0.063	0	0	ENSMUSG00000022686.B3gnt5
0	2.48747411189777	0.555	0.128	0	0	ENSMUSG00000025017.Pik3ap1
0	3.42329632813942	0.503	0.076	0	0	ENSMUSG00000031264.Btk
0	3.50800750882764	0.501	0.077	0	0	ENSMUSG00000028121.Bcar3
0	1.68875051848815	0.695	0.271	0	0	ENSMUSG00000069094.Pde7a
0	1.15343690523511	0.856	0.433	0	0	ENSMUSG00000053641.Dennd4a
0	3.87004383264256	0.477	0.054	0	0	ENSMUSG00000041538.H2-Ob
0	2.91401549955637	0.523	0.101	0	0	ENSMUSG00000010142.Tnfrsf13b
0	3.83679105463625	0.474	0.053	0	0	ENSMUSG00000030468.Siglecg
0	2.54154129924113	0.672	0.254	0	0	ENSMUSG00000030691.Fchsd2
0	0.864165706603427	0.83	0.412	0	0	ENSMUSG00000026126.Ptpn18
0	1.70674031782864	0.798	0.381	0	0	ENSMUSG00000040270.Bach2
0	2.52391121214495	0.551	0.134	0	0	ENSMUSG00000024691.Fam111a
0	1.50876459165824	0.542	0.127	0	0	ENSMUSG00000015340.Cybb
0	2.19508553565931	0.62	0.208	0	0	ENSMUSG00000070738.Dgkd
0	1.02067446886884	0.742	0.33	0	0	ENSMUSG00000084796.Mir142hg
0	2.09282725780968	0.721	0.31	0	0	ENSMUSG00000024854.Pold4
0	2.13021186374447	0.65	0.24	0	0	ENSMUSG00000021892.Sh3bp5
0	1.19770831923598	0.919	0.511	0	0	ENSMUSG00000030220.Arhgdib
0	2.80565848378664	0.518	0.111	0	0	ENSMUSG00000073538.E330020D12Rik
0	1.76364362275182	0.664	0.258	0	0	ENSMUSG00000021365.Nedd9
0	2.77173720938948	0.716	0.31	0	0	ENSMUSG00000037416.Dmxl1
0	1.84212670072706	0.761	0.356	0	0	ENSMUSG00000026755.Arpc5l
0	3.54476170678546	0.468	0.065	0	0	ENSMUSG00000021624.Cd180
0	1.26573212580874	0.779	0.378	0	0	ENSMUSG00000022378.Fam49b
0	0.277370255749056	0.929	0.532	0	0	ENSMUSG00000020077.Srgn
0	1.85240843628413	0.66	0.263	0	0	ENSMUSG00000017132.Cyth1
0	3.08523150310251	0.481	0.087	0	0	ENSMUSG00000064267.Hvcn1
0	1.87876217008443	0.6	0.209	0	0	ENSMUSG00000025314.Ptprj
0	2.85354429638475	0.493	0.103	0	0	ENSMUSG00000052760.A630001G21Rik
0	1.19794355458555	0.646	0.257	0	0	ENSMUSG00000090019.Gimap1
0	3.55340977601841	0.434	0.046	0	0	ENSMUSG00000000903.Vpreb3
0	1.85209830679299	0.588	0.201	0	0	ENSMUSG00000016756.Cmah
0	3.54597833212871	0.441	0.055	0	0	ENSMUSG00000047880.Cxcr5
0	2.16654947226425	0.623	0.237	0	0	ENSMUSG00000056899.Immp2l
0	1.88091653423576	0.672	0.287	0	0	ENSMUSG00000024548.Setbp1
0	1.43104176697428	0.616	0.231	0	0	ENSMUSG00000051212.Gpr183
0	1.63785868631541	0.593	0.209	0	0	ENSMUSG00000037754.Ppp1r16b
0	1.4130344978634	0.743	0.361	0	0	ENSMUSG00000090394.4930523C07Rik
0	2.74250643718324	0.507	0.125	0	0	ENSMUSG00000021830.Txndc16
0	1.53222387194866	0.804	0.424	0	0	ENSMUSG00000059923.Grb2
0	1.11724911463127	0.675	0.298	0	0	ENSMUSG00000018654.Ikzf1
0	1.03050826602679	0.711	0.334	0	0	ENSMUSG00000032359.Ctsh
0	1.64908657263327	0.71	0.335	0	0	ENSMUSG00000056737.Capg
0	0.801611362919023	0.737	0.363	0	0	ENSMUSG00000040747.Cd53
0	1.85294949694674	0.68	0.307	0	0	ENSMUSG00000034484.Snx2
0	1.75916550030959	0.673	0.303	0	0	ENSMUSG00000035354.Uvrag
0	1.03901008158816	0.549	0.179	0	0	ENSMUSG00000041515.Irf8
