p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.657513597438	0.731	0.164	0	Bmp4 Fibroblasts	ENSMUSG00000032925.Itgbl1
0	3.02083888007509	0.679	0.145	0	Bmp4 Fibroblasts	ENSMUSG00000074971.Fibin
0	3.75785103645757	0.561	0.072	0	Bmp4 Fibroblasts	ENSMUSG00000042254.Cilp
0	2.07714144358621	0.755	0.285	0	Bmp4 Fibroblasts	ENSMUSG00000042436.Mfap4
0	2.5110716439125	0.617	0.168	0	Bmp4 Fibroblasts	ENSMUSG00000055632.Hmcn2
0	1.54417250593669	0.79	0.364	0	Bmp4 Fibroblasts	ENSMUSG00000031595.Pdgfrl
0	2.32381477639085	0.654	0.248	0	Bmp4 Fibroblasts	ENSMUSG00000033544.Angptl1
0	2.08538600706521	0.557	0.193	0	Bmp4 Fibroblasts	ENSMUSG00000066705.Fxyd6
0	1.761562150512	0.604	0.246	0	Bmp4 Fibroblasts	ENSMUSG00000028600.Podn
0	1.81873937765244	0.585	0.228	0	Bmp4 Fibroblasts	ENSMUSG00000020354.Sgcd
0	1.44439612621738	0.867	0.528	0	Bmp4 Fibroblasts	ENSMUSG00000023886.Smoc2
0	2.25745410194714	0.5	0.163	0	Bmp4 Fibroblasts	ENSMUSG00000021835.Bmp4
0	1.80452729812764	0.858	0.523	0	Bmp4 Fibroblasts	ENSMUSG00000031239.Itm2a
0	1.4836920746372	0.592	0.262	0	Bmp4 Fibroblasts	ENSMUSG00000046491.C1qtnf2
0	2.11530802771764	0.545	0.228	0	Bmp4 Fibroblasts	ENSMUSG00000031274.Col4a5
0	1.40608835924901	0.733	0.419	0	Bmp4 Fibroblasts	ENSMUSG00000030208.Emp1
0	1.5875272598619	0.865	0.557	0	Bmp4 Fibroblasts	ENSMUSG00000048126.Col6a3
0	2.06657836320244	0.428	0.136	0	Bmp4 Fibroblasts	ENSMUSG00000030562.Nox4
0	1.15400385080427	0.955	0.667	0	Bmp4 Fibroblasts	ENSMUSG00000030218.Mgp
0	2.35058574840129	0.785	0.503	0	Bmp4 Fibroblasts	ENSMUSG00000029675.Eln
0	1.77597917749235	0.447	0.175	0	Bmp4 Fibroblasts	ENSMUSG00000043252.Tmem64
