p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.92042291478461	0.757	0.338	0	0	ENSMUSG00000055254.Ntrk2
0	2.33045745294404	0.813	0.407	0	0	ENSMUSG00000020427.Igfbp3
0	1.54125304005521	0.827	0.481	0	0	ENSMUSG00000023886.Smoc2
0	1.5018724819166	0.674	0.334	0	0	ENSMUSG00000064294.Aox3
0	2.04806881156844	0.544	0.215	0	0	ENSMUSG00000046743.Fat4
0	1.40943890272243	0.652	0.331	0	0	ENSMUSG00000025491.Ifitm1
0	1.60135581649972	0.698	0.38	0	0	ENSMUSG00000002265.Peg3
0	1.72409085320049	0.53	0.213	0	0	ENSMUSG00000033544.Angptl1
0	1.42145360177652	0.696	0.381	0	0	ENSMUSG00000031825.Crispld2
0	1.4915541622547	0.646	0.332	0	0	ENSMUSG00000031558.Slit2
0	1.32930053296422	0.542	0.252	0	0	ENSMUSG00000021943.Gdf10
0	1.54659137195724	0.494	0.215	0	0	ENSMUSG00000036856.Wnt4
0	0.918455719668066	0.722	0.451	0	0	ENSMUSG00000045573.Penk
0	1.13562488354948	0.548	0.283	0	0	ENSMUSG00000027996.Sfrp2
0	1.69752672827147	0.896	0.632	0	0	ENSMUSG00000041120.Nbl1
0	2.05166883927045	0.407	0.146	0	0	ENSMUSG00000034324.Tmem132c
0	1.22167494502587	0.73	0.477	0	0	ENSMUSG00000043719.Col6a6
0	1.46873085506751	0.475	0.224	0	0	ENSMUSG00000005338.Cadm3
0	1.00714695498243	0.653	0.409	0	0	ENSMUSG00000022231.Sema5a
0	1.87543025631961	0.394	0.151	0	0	ENSMUSG00000028883.Sema3a
0	0.380265448018782	0.893	0.652	0	0	ENSMUSG00000030116.Mfap5
0	0.63552039982836	0.777	0.537	0	0	ENSMUSG00000022425.Enpp2
0	1.24622691749432	0.879	0.644	0	0	ENSMUSG00000038119.Cdon
0	0.521238505769366	0.832	0.6	0	0	ENSMUSG00000029309.Sparcl1
0	0.672532968306784	0.712	0.48	0	0	ENSMUSG00000029675.Eln
0	1.04049929435936	0.897	0.667	0	0	ENSMUSG00000028339.Col15a1
0	1.10881377198716	0.559	0.334	0	0	ENSMUSG00000032372.Plscr2
0	0.838035857691608	0.752	0.529	0	0	ENSMUSG00000022032.Scara5
0	1.10023570525473	0.61	0.392	0	0	ENSMUSG00000066113.Adamtsl1
0	1.23335419182172	0.546	0.329	0	0	ENSMUSG00000031561.Tenm3
0	1.02500585791744	0.645	0.429	0	0	ENSMUSG00000037379.Spon2
0	1.15599308057031	0.46	0.245	0	0	ENSMUSG00000035493.Tgfbi
0	0.774579858631027	0.668	0.457	0	0	ENSMUSG00000024529.Lox
0	1.11453970871069	0.527	0.317	0	0	ENSMUSG00000053199.Arhgap20
0	1.72680450728191	0.356	0.147	0	0	ENSMUSG00000102692.Dchs2
0	0.955916020825312	0.837	0.63	0	0	ENSMUSG00000038587.Akap12
0	1.23192293729706	0.617	0.411	0	0	ENSMUSG00000041417.Pik3r1
0	0.358869884240723	0.925	0.72	0	0	ENSMUSG00000023046.Igfbp6
0	1.33514652488361	0.403	0.199	0	0	ENSMUSG00000028370.Pappa
0	0.418563152830486	0.922	0.723	0	0	ENSMUSG00000015568.Lpl
0	2.03765198333782	0.293	0.097	0	0	ENSMUSG00000066392.Nrxn3
0	0.801947867866737	0.704	0.508	0	0	ENSMUSG00000031239.Itm2a
0	1.03014189780805	0.546	0.354	0	0	ENSMUSG00000020388.Pdlim4
0	2.2492825511488	0.274	0.082	0	0	ENSMUSG00000051379.Flrt3
0	0.91728725686314	0.613	0.421	0	0	ENSMUSG00000047497.Adamts12
0	1.24475743472565	0.445	0.253	0	0	ENSMUSG00000062210.Tnfaip8
