p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.87302532984344	0.775	0.343	0	0	ENSMUSG00000055254.Ntrk2
0	2.34957253743291	0.833	0.41	0	0	ENSMUSG00000020427.Igfbp3
0	2.09628674762104	0.579	0.214	0	0	ENSMUSG00000046743.Fat4
0	1.58414505020091	0.686	0.328	0	0	ENSMUSG00000031558.Slit2
0	1.66307499727833	0.733	0.377	0	0	ENSMUSG00000002265.Peg3
0	1.42226924489376	0.687	0.334	0	0	ENSMUSG00000064294.Aox3
0	1.45193500017155	0.593	0.244	0	0	ENSMUSG00000021943.Gdf10
0	1.3433333414725	0.662	0.336	0	0	ENSMUSG00000025491.Ifitm1
0	1.20710076038022	0.817	0.491	0	0	ENSMUSG00000023886.Smoc2
0	1.69278195280622	0.541	0.217	0	0	ENSMUSG00000033544.Angptl1
0	1.27658333448432	0.601	0.277	0	0	ENSMUSG00000027996.Sfrp2
0	1.34590010644824	0.708	0.385	0	0	ENSMUSG00000031825.Crispld2
0	1.62411666798292	0.52	0.212	0	0	ENSMUSG00000036856.Wnt4
0	0.908459648088648	0.751	0.45	0	0	ENSMUSG00000045573.Penk
0	1.58002238115915	0.514	0.218	0	0	ENSMUSG00000005338.Cadm3
0	1.15164166133529	0.692	0.399	0	0	ENSMUSG00000022231.Sema5a
0	2.0428486072551	0.423	0.146	0	0	ENSMUSG00000034324.Tmem132c
0	0.417380178709983	0.925	0.648	0	0	ENSMUSG00000030116.Mfap5
0	1.34818217676913	0.589	0.32	0	0	ENSMUSG00000031561.Tenm3
0	0.780458793555385	0.795	0.533	0	0	ENSMUSG00000022425.Enpp2
0	1.90240240399215	0.411	0.15	0	0	ENSMUSG00000028883.Sema3a
0	1.53378966407164	0.896	0.637	0	0	ENSMUSG00000041120.Nbl1
0	1.26090200619082	0.498	0.241	0	0	ENSMUSG00000035493.Tgfbi
0	1.30321461152923	0.898	0.643	0	0	ENSMUSG00000038119.Cdon
0	0.674094352759237	0.73	0.476	0	0	ENSMUSG00000029675.Eln
0	1.17302118386481	0.716	0.467	0	0	ENSMUSG00000096054.Syne1
0	1.0178067986448	0.667	0.426	0	0	ENSMUSG00000037379.Spon2
0	0.965967918721832	0.907	0.668	0	0	ENSMUSG00000028339.Col15a1
0	2.2778152312698	0.33	0.092	0	0	ENSMUSG00000066392.Nrxn3
0	1.09463777142677	0.571	0.333	0	0	ENSMUSG00000032372.Plscr2
