p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.65053165060879	0.805	0.356	0	0	ENSMUSG00000045092.S1pr1
0	2.9224295868981	0.535	0.103	0	0	ENSMUSG00000026989.Dapl1
0	1.5931212530505	0.906	0.481	0	0	ENSMUSG00000027985.Lef1
0	1.66113539939985	0.66	0.253	0	0	ENSMUSG00000037944.Ccr7
0	1.54176130764607	0.621	0.245	0	0	ENSMUSG00000026581.Sell
0	1.30994030966897	0.771	0.395	0	0	ENSMUSG00000039384.Dusp10
0	2.1694561535108	0.525	0.151	0	0	ENSMUSG00000020601.Trib2
0	1.67129329298908	0.621	0.289	0	0	ENSMUSG00000030844.Rgs10
0	1.28757497909428	0.658	0.343	0	0	ENSMUSG00000058470.Gm8369
0	1.26829552207324	0.574	0.261	0	0	ENSMUSG00000086320.Gm12840
0	1.40882482550907	0.889	0.578	0	0	ENSMUSG00000020608.Smc6
0	0.839154062912945	0.736	0.427	0	0	ENSMUSG00000115681.Gm2682
0	1.97824461652256	0.452	0.145	0	0	ENSMUSG00000015143.Actn1
0	1.23490714762763	0.677	0.377	0	0	ENSMUSG00000025357.Dgka
0	1.6598570520981	0.483	0.192	0	0	ENSMUSG00000021756.Il6st
0	1.18691130721649	0.861	0.577	0	0	ENSMUSG00000040270.Bach2
0	1.00797060816349	0.638	0.359	0	0	ENSMUSG00000037138.Aff3
0	1.11494208982342	0.935	0.662	0	0	ENSMUSG00000023927.Satb1
0	0.695548112179651	0.855	0.585	0	0	ENSMUSG00000001700.Gramd3
0	1.7304306021398	0.424	0.161	0	0	ENSMUSG00000020846.Rflnb
0	1.28674597084352	0.49	0.231	0	0	ENSMUSG00000016756.Cmah
0	1.20275353219553	0.913	0.666	0	0	ENSMUSG00000030067.Foxp1
0	2.27427117306914	0.315	0.073	0	0	ENSMUSG00000003418.St8sia6
0	0.882558005234652	0.788	0.546	0	0	ENSMUSG00000000782.Tcf7
0	2.61620516367317	0.296	0.065	0	0	ENSMUSG00000017493.Igfbp4
0	1.58681587420903	0.364	0.134	0	0	ENSMUSG00000031239.Itm2a
0	0.67803019201097	0.894	0.671	0	0	ENSMUSG00000022148.Fyb
0	1.05120259497972	0.676	0.462	0	0	ENSMUSG00000034349.Smc4
0	0.511496742537585	0.931	0.729	0	0	ENSMUSG00000076928.Trac
0	0.984881301084388	0.794	0.6	0	0	ENSMUSG00000017561.Crlf3
0	0.860135863107971	0.797	0.616	0	0	ENSMUSG00000032412.Atp1b3
