p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.76623694957768	0.683	0.295	0	0	ENSMUSG00000030844.Rgs10
0	2.25778723842764	0.544	0.162	0	0	ENSMUSG00000026989.Dapl1
0	1.15201471201874	0.802	0.427	0	0	ENSMUSG00000045092.S1pr1
0	1.26398608483491	0.661	0.287	0	0	ENSMUSG00000037944.Ccr7
0	1.14305108786511	0.908	0.561	0	0	ENSMUSG00000027985.Lef1
0	1.43046572501852	0.532	0.193	0	0	ENSMUSG00000020601.Trib2
0	1.16327178691058	0.625	0.288	0	0	ENSMUSG00000026581.Sell
0	0.814993204953291	0.763	0.452	0	0	ENSMUSG00000039384.Dusp10
0	1.33962565560223	0.501	0.219	0	0	ENSMUSG00000021756.Il6st
0	0.982709229642157	0.81	0.535	0	0	ENSMUSG00000000782.Tcf7
0	1.43433075525257	0.457	0.185	0	0	ENSMUSG00000015143.Actn1
0	1.10058385332938	0.888	0.623	0	0	ENSMUSG00000020608.Smc6
0	2.7314595237737	0.325	0.065	0	0	ENSMUSG00000017493.Igfbp4
0	0.874412527165811	0.936	0.683	0	0	ENSMUSG00000023927.Satb1
0	0.849425782403771	0.861	0.609	0	0	ENSMUSG00000040270.Bach2
0	1.64545928856799	0.326	0.097	0	0	ENSMUSG00000003418.St8sia6
0	0.943419023998074	0.91	0.683	0	0	ENSMUSG00000030067.Foxp1
0	0.999507423484583	0.943	0.755	0	0	ENSMUSG00000069117.Rps18-ps6
0	0.736626755839283	0.923	0.793	0	0	ENSMUSG00000028495.Rps6
0	0.764568563538513	0.908	0.791	0	0	ENSMUSG00000073702.Rpl31
0	0.718820657357793	0.909	0.797	0	0	ENSMUSG00000058558.Rpl5
0	0.83682913588163	0.935	0.832	0	0	ENSMUSG00000061787.Rps17
0	0.901254525994977	0.95	0.852	0	0	ENSMUSG00000063457.Rps15
0	0.704919181558567	0.944	0.87	0	0	ENSMUSG00000009927.Rps25
0	0.648514294154415	0.984	0.934	0	0	ENSMUSG00000020372.Rack1
0	0.599044234561162	0.99	0.949	0	0	ENSMUSG00000079435.Rpl36a
0	0.517712147790887	0.988	0.948	0	0	ENSMUSG00000025967.Eef1b2
0	0.862205395856268	0.998	0.97	0	0	ENSMUSG00000038900.Rpl12
0	0.48175173676858	0.996	0.974	0	0	ENSMUSG00000029614.Rpl6
0	0.539603955708288	0.997	0.977	0	0	ENSMUSG00000062997.Rpl35
0	0.558624988996057	0.998	0.98	0	0	ENSMUSG00000030432.Rpl28
0	0.593224635867617	0.998	0.98	0	0	ENSMUSG00000025362.Rps26
0	0.520552225060495	0.998	0.984	0	0	ENSMUSG00000067274.Rplp0
0	0.45877394425762	0.999	0.985	0	0	ENSMUSG00000040952.Rps19
0	0.522012627852746	0.996	0.984	0	0	ENSMUSG00000062328.Rpl17
0	0.47818773846801	0.999	0.988	0	0	ENSMUSG00000024608.Rps14
0	0.461632000875606	1	0.99	0	0	ENSMUSG00000057841.Rpl32
0	0.405312818141876	0.999	0.989	0	0	ENSMUSG00000030744.Rps3
0	0.538651004653895	1	0.99	0	0	ENSMUSG00000025508.Rplp2
0	0.4864763498293	1	0.99	0	0	ENSMUSG00000003970.Rpl8
0	0.598789586273939	1	0.99	0	0	ENSMUSG00000067288.Rps28
0	0.375023630014672	0.999	0.99	0	0	ENSMUSG00000031320.Rps4x
0	0.32438771455734	1	0.991	0	0	ENSMUSG00000062006.Rpl34
0	0.609902258155682	1	0.991	0	0	ENSMUSG00000047675.Rps8
0	0.337937369925856	0.999	0.99	0	0	ENSMUSG00000006333.Rps9
0	0.37030340010911	1	0.991	0	0	ENSMUSG00000020460.Rps27a
0	0.459338188217514	1	0.991	0	0	ENSMUSG00000071415.Rpl23
0	0.429385024689554	1	0.992	0	0	ENSMUSG00000028081.Rps3a1
0	0.676967525855169	1	0.992	0	0	ENSMUSG00000028234.Rps20
0	0.507300954293158	0.999	0.991	0	0	ENSMUSG00000037563.Rps16
0	0.369854167692286	1	0.992	0	0	ENSMUSG00000008683.Rps15a
0	0.701093902069604	1	0.992	0	0	ENSMUSG00000007892.Rplp1
0	0.349501418516867	0.999	0.991	0	0	ENSMUSG00000041841.Rpl37
0	0.35617077774247	0.999	0.991	0	0	ENSMUSG00000057863.Rpl36
0	0.473392875604023	1	0.993	0	0	ENSMUSG00000039001.Rps21
0	0.432062108288108	1	0.994	0	0	ENSMUSG00000025290.Rps24
0	0.600895433495823	1	0.994	0	0	ENSMUSG00000060126.Tpt1
0	0.42727204092508	1	0.995	0	0	ENSMUSG00000090733.Rps27
0	0.656590675336606	1	0.995	0	0	ENSMUSG00000034892.Rps29
1.2910582070299e-300	0.310196680778167	1	0.992	4.2058803210413e-296	0	ENSMUSG00000049517.Rps23
4.9021416921956e-293	0.319078042468677	1	0.991	1.59697069906656e-288	0	ENSMUSG00000079641.Rpl39
1.65841113230413e-292	0.559943916683485	0.987	0.961	5.40260594570716e-288	0	ENSMUSG00000061983.Rps12
2.58290967311412e-284	1.61762747949066	0.387	0.153	8.41434484210388e-280	0	ENSMUSG00000031239.Itm2a
5.74927720070763e-276	0.416343367131949	0.992	0.961	1.87294203367452e-271	0	ENSMUSG00000062353.Gm15772
3.26267058724237e-269	0.431948436706385	0.994	0.952	1.06288019720595e-264	0	ENSMUSG00000060636.Rpl35a
2.73544154282979e-266	0.295936846880293	1	0.992	8.91124791407661e-262	0	ENSMUSG00000047215.Rpl9
1.1010290900233e-265	0.881566479295053	0.68	0.428	3.5868224665689e-261	0	ENSMUSG00000025357.Dgka
1.53078475494541e-253	0.355871793608537	0.997	0.982	4.98683749618565e-249	0	ENSMUSG00000041453.Rpl21
5.665358100988e-249	0.305235635685203	1	0.991	1.84560370855886e-244	0	ENSMUSG00000045128.Rpl18a
8.48902065770375e-243	0.314679846138655	1	0.993	2.76546825966015e-238	0	ENSMUSG00000093674.Rpl41
5.27935481023228e-239	0.44260929749333	0.94	0.757	1.71985541652937e-234	0	ENSMUSG00000076928.Trac
1.43439868275028e-238	1.7563478718016	0.263	0.082	4.6728405887956e-234	0	ENSMUSG00000029287.Tgfbr3
7.87006726991238e-237	0.321732271798894	0.997	0.983	2.56383181451936e-232	0	ENSMUSG00000028936.Rpl22
3.87112549314179e-230	0.647633878239753	0.845	0.678	1.2610965519008e-225	0	ENSMUSG00000040699.Limd2
1.01296739762878e-229	0.378843254429823	0.993	0.972	3.29994389125527e-225	0	ENSMUSG00000008682.Rpl10
2.05974952656557e-229	0.764864931259073	0.781	0.616	6.71004603269266e-225	0	ENSMUSG00000018654.Ikzf1
3.05581618537533e-229	0.286420396415062	1	0.992	9.95493238709721e-225	0	ENSMUSG00000000740.Rpl13
1.80069389855585e-228	1.50451762258632	0.307	0.112	5.8661205133254e-224	0	ENSMUSG00000027947.Il6ra
1.67831969102009e-226	0.78717892003694	0.633	0.372	5.46746205743616e-222	0	ENSMUSG00000037138.Aff3
1.05960630130929e-224	1.05367485556654	0.503	0.277	3.45187944777527e-220	0	ENSMUSG00000020717.Pecam1
